Location,Day,D,F,G,H,Pp,S,T,V,W,U,$
LIVERPOOL,2024-03-18Z,WSW,11,20,67,7,9,13,VG,3,3,720
LIVERPOOL,2024-03-18Z,SSW,10,20,58,32,13,13,MO,10,1,900
LIVERPOOL,2024-03-18Z,S,11,20,63,5,13,13,GO,7,1,1080
LIVERPOOL,2024-03-18Z,SSE,9,25,76,5,16,12,GO,7,0,1260
LIVERPOOL,2024-03-19Z,S,8,27,77,51,16,11,GO,7,0,0
LIVERPOOL,2024-03-19Z,S,8,25,83,7,13,11,VG,2,0,180
LIVERPOOL,2024-03-19Z,SSW,9,20,85,60,11,11,GO,13,0,360
LIVERPOOL,2024-03-19Z,W,9,18,81,9,11,11,GO,3,1,540
LIVERPOOL,2024-03-19Z,WNW,10,16,67,4,11,12,VG,7,3,720
LIVERPOOL,2024-03-19Z,NW,10,13,71,5,7,12,GO,7,1,900
LIVERPOOL,2024-03-19Z,NNW,11,7,75,5,4,11,GO,7,1,1080
LIVERPOOL,2024-03-19Z,ENE,11,7,78,6,2,11,GO,7,0,1260
LIVERPOOL,2024-03-20Z,ENE,10,7,81,13,2,11,MO,7,0,0
LIVERPOOL,2024-03-20Z,SE,9,9,86,62,4,10,MO,12,0,180
LIVERPOOL,2024-03-20Z,ESE,8,11,93,87,7,9,MO,15,0,360
LIVERPOOL,2024-03-20Z,WNW,8,9,92,56,7,10,MO,12,1,540
LIVERPOOL,2024-03-20Z,NW,7,13,90,51,9,9,MO,12,2,720
LIVERPOOL,2024-03-20Z,NW,7,20,84,10,11,9,GO,7,1,900
LIVERPOOL,2024-03-20Z,NNW,6,16,83,4,9,9,VG,1,1,1080
LIVERPOOL,2024-03-20Z,NW,6,11,86,2,7,8,VG,0,0,1260
LIVERPOOL,2024-03-21Z,W,5,9,88,4,7,7,VG,7,0,0
LIVERPOOL,2024-03-21Z,SW,5,9,88,5,7,7,VG,7,0,180
LIVERPOOL,2024-03-21Z,SSW,4,13,86,5,9,7,VG,7,0,360
LIVERPOOL,2024-03-21Z,S,5,18,79,9,11,8,GO,7,1,540
LIVERPOOL,2024-03-21Z,SSW,7,25,72,12,16,10,VG,7,2,720
LIVERPOOL,2024-03-21Z,SW,8,29,69,11,18,12,VG,8,1,900
LIVERPOOL,2024-03-21Z,SW,8,31,75,10,20,11,VG,8,1,1080
